Date,Store,Sales,DayOfWeek,Promo,StateHoliday,SchoolHoliday,Month,Year,WeekOfYear
2018-02-24,1,7836.89,6,0,0,0,2,2018,8
2018-02-26,1,5062.33,1,0,0,0,2,2018,9
2018-02-27,1,7912.57,2,1,0,0,2,2018,9
2018-02-28,1,6993.68,3,1,0,0,2,2018,9
2018-03-01,1,7525.43,4,1,0,0,3,2018,9
2018-03-02,1,7205.64,5,0,0,0,3,2018,9
2018-03-03,1,8949.05,6,1,0,0,3,2018,9
2018-03-05,1,6276.51,1,0,0,0,3,2018,10
2018-03-06,1,7602.76,2,0,0,0,3,2018,10
2018-03-07,1,6036.25,3,0,0,0,3,2018,10
2018-03-08,1,6150.02,4,0,0,0,3,2018,10
2018-03-09,1,7482.61,5,0,0,0,3,2018,10
2018-03-10,1,8165.19,6,0,0,0,3,2018,10
2018-03-12,1,5801.34,1,0,0,0,3,2018,11
2018-03-13,1,6433.39,2,0,0,0,3,2018,11
2018-03-14,1,7147.37,3,0,0,0,3,2018,11
2018-03-15,1,7553.07,4,1,0,0,3,2018,11
2018-03-16,1,7485.54,5,0,0,0,3,2018,11
2018-03-17,1,9601.68,6,0,0,0,3,2018,11
2018-03-19,1,5219.0,1,0,0,0,3,2018,12
2018-03-20,1,7751.63,2,1,0,0,3,2018,12
2018-03-21,1,6719.97,3,0,0,0,3,2018,12
2018-03-22,1,6705.11,4,0,0,0,3,2018,12
2018-03-23,1,7743.16,5,0,0,0,3,2018,12
2018-03-24,1,8598.22,6,0,0,0,3,2018,12
2018-03-26,1,6815.5,1,0,0,0,3,2018,13
2018-03-27,1,6244.69,2,0,0,0,3,2018,13
2018-03-28,1,6704.75,3,0,0,0,3,2018,13
2018-03-29,1,7082.57,4,0,0,0,3,2018,13
2018-03-30,1,2563.27,5,0,1,0,3,2018,13
2018-03-31,1,10668.42,6,1,0,0,3,2018,13
2018-04-02,1,2425.56,1,0,1,0,4,2018,14
2018-04-03,1,8336.46,2,1,0,0,4,2018,14
2018-04-04,1,6059.71,3,0,0,0,4,2018,14
2018-04-05,1,6986.76,4,0,0,0,4,2018,14
2018-04-06,1,8361.12,5,0,0,0,4,2018,14
2018-04-07,1,8568.17,6,0,0,0,4,2018,14
2018-04-09,1,6602.86,1,0,0,0,4,2018,15
2018-04-10,1,6880.41,2,0,0,0,4,2018,15
2018-04-11,1,6632.73,3,0,0,0,4,2018,15
2018-04-12,1,6684.37,4,0,0,0,4,2018,15
2018-04-13,1,7382.57,5,0,0,0,4,2018,15
2018-04-14,1,9702.89,6,1,0,0,4,2018,15
2018-04-16,1,7454.02,1,1,0,0,4,2018,16
2018-04-17,1,7787.42,2,1,0,0,4,2018,16
2018-04-18,1,7474.24,3,0,0,0,4,2018,16
2018-04-19,1,6611.48,4,0,0,0,4,2018,16
2018-04-20,1,7811.57,5,0,0,0,4,2018,16
2018-04-21,1,9776.38,6,0,0,0,4,2018,16
2018-04-23,1,7639.59,1,0,0,0,4,2018,17
2018-04-24,1,6256.47,2,0,0,0,4,2018,17
2018-04-25,1,6832.07,3,0,0,0,4,2018,17
2018-04-26,1,7998.51,4,1,0,0,4,2018,17
2018-04-27,1,8503.25,5,1,0,0,4,2018,17
2018-04-28,1,7249.46,6,0,0,0,4,2018,17
2018-04-30,1,9684.89,1,1,0,0,4,2018,18
2018-05-01,1,2989.97,2,1,1,0,5,2018,18
2018-05-02,1,6935.05,3,1,0,0,5,2018,18
2018-05-03,1,6854.52,4,0,0,0,5,2018,18
2018-05-04,1,7485.28,5,0,0,0,5,2018,18
2018-05-05,1,10710.5,6,1,0,0,5,2018,18
2018-05-07,1,6053.82,1,0,0,0,5,2018,19
2018-05-08,1,7210.54,2,1,0,0,5,2018,19
2018-05-09,1,6403.16,3,0,0,0,5,2018,19
2018-05-10,1,7303.6,4,1,0,0,5,2018,19
2018-05-11,1,7818.47,5,0,0,0,5,2018,19
2018-05-12,1,10051.53,6,1,0,0,5,2018,19
2018-05-14,1,5712.76,1,0,0,0,5,2018,20
2018-05-15,1,6997.93,2,0,0,0,5,2018,20
2018-05-16,1,7644.65,3,1,0,0,5,2018,20
2018-05-17,1,8304.54,4,1,0,0,5,2018,20
2018-05-18,1,7505.69,5,0,0,0,5,2018,20
2018-05-19,1,11561.47,6,1,0,0,5,2018,20
2018-05-21,1,6704.01,1,0,0,0,5,2018,21
2018-05-22,1,6585.05,2,0,0,0,5,2018,21
2018-05-23,1,6073.11,3,0,0,0,5,2018,21
2018-05-24,1,7653.62,4,1,0,0,5,2018,21
2018-05-25,1,7553.86,5,0,0,0,5,2018,21
2018-05-26,1,9866.54,6,1,0,0,5,2018,21
2018-05-28,1,6494.95,1,0,0,0,5,2018,22
2018-05-29,1,8189.87,2,1,0,0,5,2018,22
2018-05-30,1,6607.25,3,0,0,0,5,2018,22
2018-05-31,1,7371.45,4,0,0,0,5,2018,22
2018-06-01,1,8093.02,5,1,0,0,6,2018,22
2018-06-02,1,8982.46,6,1,0,0,6,2018,22
2018-06-04,1,6104.07,1,0,0,0,6,2018,23
2018-06-05,1,7852.54,2,1,0,0,6,2018,23
2018-06-06,1,7356.16,3,1,0,0,6,2018,23
2018-06-07,1,7191.87,4,1,0,0,6,2018,23
2018-06-08,1,8634.76,5,1,0,0,6,2018,23
2018-06-09,1,7707.06,6,0,0,0,6,2018,23
2018-06-11,1,5844.44,1,0,0,0,6,2018,24
2018-06-12,1,6234.54,2,0,0,0,6,2018,24
2018-06-13,1,5375.94,3,0,0,0,6,2018,24
2018-06-14,1,6711.87,4,0,0,0,6,2018,24
2018-06-15,1,8754.77,5,1,0,0,6,2018,24
2018-06-16,1,7124.07,6,0,0,0,6,2018,24
2018-06-18,1,7886.87,1,1,0,0,6,2018,25
2018-06-19,1,8333.31,2,1,0,0,6,2018,25
2018-06-20,1,6125.5,3,0,0,0,6,2018,25
2018-06-21,1,6857.32,4,0,0,0,6,2018,25
2018-06-22,1,8605.65,5,1,0,0,6,2018,25
2018-06-23,1,10439.64,6,0,0,0,6,2018,25
2018-06-25,1,6014.47,1,0,0,0,6,2018,26
2018-06-26,1,7601.09,2,1,0,0,6,2018,26
2018-06-27,1,6506.97,3,0,0,0,6,2018,26
2018-06-28,1,8260.56,4,1,0,0,6,2018,26
2018-06-29,1,8456.8,5,0,0,0,6,2018,26
2018-06-30,1,8264.84,6,0,0,0,6,2018,26
2018-07-02,1,8146.98,1,1,0,1,7,2018,27
2018-07-03,1,6433.94,2,0,0,1,7,2018,27
2018-07-04,1,7723.47,3,1,0,1,7,2018,27
2018-07-05,1,6811.51,4,0,0,1,7,2018,27
2018-07-06,1,9660.94,5,1,0,1,7,2018,27
2018-07-07,1,7841.77,6,0,0,1,7,2018,27
2018-07-09,1,6957.13,1,0,0,1,7,2018,28
2018-07-10,1,7032.41,2,0,0,1,7,2018,28
2018-07-11,1,8145.44,3,1,0,1,7,2018,28
2018-07-12,1,7398.57,4,0,0,1,7,2018,28
2018-07-13,1,8261.46,5,0,0,1,7,2018,28
2018-07-14,1,8336.85,6,0,0,1,7,2018,28
2018-07-16,1,6474.45,1,0,0,1,7,2018,29
2018-07-17,1,6207.09,2,0,0,1,7,2018,29
2018-07-18,1,6188.75,3,0,0,1,7,2018,29
2018-07-19,1,6101.42,4,0,0,1,7,2018,29
2018-07-20,1,9574.7,5,1,0,1,7,2018,29
2018-07-21,1,9062.71,6,0,0,1,7,2018,29
2018-07-23,1,6411.11,1,0,0,1,7,2018,30
2018-07-24,1,6832.1,2,0,0,1,7,2018,30
2018-07-25,1,7276.31,3,0,0,1,7,2018,30
2018-07-26,1,7503.66,4,0,0,1,7,2018,30
2018-07-27,1,7536.73,5,0,0,1,7,2018,30
2018-07-28,1,11214.35,6,1,0,1,7,2018,30
2018-07-30,1,6511.59,1,0,0,1,7,2018,31
2018-07-31,1,7235.7,2,0,0,1,7,2018,31
2018-08-01,1,7000.08,3,0,0,1,8,2018,31
2018-08-02,1,6562.36,4,0,0,1,8,2018,31
2018-08-03,1,7219.19,5,0,0,1,8,2018,31
2018-08-04,1,10694.52,6,0,0,1,8,2018,31
2018-08-06,1,7358.37,1,0,0,1,8,2018,32
2018-08-07,1,6703.57,2,0,0,1,8,2018,32
2018-08-08,1,7044.69,3,0,0,1,8,2018,32
2018-08-09,1,6248.54,4,0,0,1,8,2018,32
2018-08-10,1,7029.27,5,0,0,1,8,2018,32
2018-08-11,1,9196.28,6,0,0,1,8,2018,32
2018-08-13,1,7995.54,1,0,0,1,8,2018,33
2018-08-14,1,7770.36,2,1,0,1,8,2018,33
2018-08-15,1,8441.0,3,1,0,1,8,2018,33
2018-08-16,1,7059.73,4,0,0,1,8,2018,33
2018-08-17,1,6904.86,5,0,0,1,8,2018,33
2018-08-18,1,8481.64,6,0,0,1,8,2018,33
2018-08-20,1,9089.36,1,1,0,1,8,2018,34
2018-08-21,1,7670.77,2,0,0,1,8,2018,34
2018-08-22,1,6505.07,3,0,0,1,8,2018,34
2018-08-23,1,8022.69,4,0,0,1,8,2018,34
2018-08-24,1,11415.75,5,1,0,1,8,2018,34
2018-08-25,1,9416.32,6,0,0,1,8,2018,34
2018-08-27,1,6130.9,1,0,0,1,8,2018,35
2018-08-28,1,7746.19,2,1,0,1,8,2018,35
2018-08-29,1,6486.19,3,0,0,1,8,2018,35
2018-08-30,1,8724.93,4,0,0,1,8,2018,35
2018-08-31,1,8106.26,5,1,0,1,8,2018,35
2018-09-01,1,10628.57,6,0,0,0,9,2018,35
2018-09-03,1,7193.16,1,0,0,0,9,2018,36
2018-09-04,1,7163.85,2,0,0,0,9,2018,36
2018-09-05,1,6532.25,3,0,0,0,9,2018,36
2018-09-06,1,6969.7,4,0,0,0,9,2018,36
2018-09-07,1,7878.09,5,0,0,0,9,2018,36
2018-09-08,1,11708.5,6,1,0,0,9,2018,36
2018-09-10,1,6323.64,1,0,0,0,9,2018,37
2018-09-11,1,7842.98,2,0,0,0,9,2018,37
2018-09-12,1,7633.84,3,0,0,0,9,2018,37
2018-09-13,1,6878.23,4,0,0,0,9,2018,37
2018-09-14,1,8357.64,5,1,0,0,9,2018,37
2018-09-15,1,11254.42,6,1,0,0,9,2018,37
2018-09-17,1,7445.84,1,1,0,0,9,2018,38
2018-09-18,1,7383.85,2,0,0,0,9,2018,38
2018-09-19,1,6266.73,3,0,0,0,9,2018,38
2018-09-20,1,6752.2,4,0,0,0,9,2018,38
2018-09-21,1,7602.29,5,0,0,0,9,2018,38
2018-09-22,1,8328.41,6,0,0,0,9,2018,38
2018-09-24,1,6434.81,1,0,0,0,9,2018,39
2018-09-25,1,8103.26,2,1,0,0,9,2018,39
2018-09-26,1,7145.02,3,0,0,0,9,2018,39
2018-09-27,1,6996.8,4,0,0,0,9,2018,39
2018-09-28,1,7342.14,5,1,0,0,9,2018,39
2018-09-29,1,9613.38,6,0,0,0,9,2018,39
2018-10-01,1,9151.95,1,1,0,0,10,2018,40
2018-10-02,1,7740.28,2,0,0,0,10,2018,40
2018-10-03,1,2592.14,3,0,1,0,10,2018,40
2018-10-04,1,7451.37,4,0,0,0,10,2018,40
2018-10-05,1,9093.44,5,1,0,0,10,2018,40
2018-10-06,1,14692.02,6,1,0,0,10,2018,40
2018-10-08,1,9704.0,1,1,0,0,10,2018,41
2018-10-09,1,6447.68,2,0,0,0,10,2018,41
2018-10-10,1,7516.56,3,0,0,0,10,2018,41
2018-10-11,1,7657.14,4,0,0,0,10,2018,41
2018-10-12,1,8276.66,5,1,0,0,10,2018,41
2018-10-13,1,11246.57,6,1,0,0,10,2018,41
2018-10-15,1,7736.22,1,0,0,0,10,2018,42
2018-10-16,1,6511.67,2,0,0,0,10,2018,42
2018-10-17,1,8109.2,3,0,0,0,10,2018,42
2018-10-18,1,8238.46,4,0,0,0,10,2018,42
2018-10-19,1,10222.05,5,1,0,0,10,2018,42
2018-10-20,1,9450.15,6,0,0,0,10,2018,42
2018-10-22,1,8067.31,1,1,0,0,10,2018,43
2018-10-23,1,7881.8,2,1,0,0,10,2018,43
2018-10-24,1,7678.4,3,0,0,0,10,2018,43
2018-10-25,1,6835.79,4,0,0,0,10,2018,43
2018-10-26,1,9050.15,5,1,0,0,10,2018,43
2018-10-27,1,9491.29,6,0,0,0,10,2018,43
2018-10-29,1,6863.04,1,0,0,0,10,2018,44
2018-10-30,1,7287.95,2,0,0,0,10,2018,44
2018-10-31,1,8406.2,3,1,0,0,10,2018,44
2018-11-01,1,9089.96,4,0,0,0,11,2018,44
2018-11-02,1,9202.72,5,0,0,0,11,2018,44
2018-11-03,1,12609.4,6,1,0,0,11,2018,44
2018-11-05,1,8797.42,1,1,0,0,11,2018,45
2018-11-06,1,8169.52,2,0,0,0,11,2018,45
2018-11-07,1,7776.2,3,0,0,0,11,2018,45
2018-11-08,1,9251.14,4,0,0,0,11,2018,45
2018-11-09,1,8842.85,5,0,0,0,11,2018,45
2018-11-10,1,11043.58,6,0,0,0,11,2018,45
2018-11-12,1,6878.32,1,0,0,0,11,2018,46
2018-11-13,1,8731.41,2,1,0,0,11,2018,46
2018-11-14,1,7323.37,3,0,0,0,11,2018,46
2018-11-15,1,8185.43,4,0,0,0,11,2018,46
2018-11-16,1,8680.64,5,0,0,0,11,2018,46
2018-11-17,1,11204.86,6,0,0,0,11,2018,46
2018-11-19,1,7962.77,1,1,0,0,11,2018,47
2018-11-20,1,8213.94,2,0,0,0,11,2018,47
2018-11-21,1,6912.87,3,0,0,0,11,2018,47
2018-11-22,1,7712.47,4,0,0,0,11,2018,47
2018-11-23,1,10071.31,5,0,0,0,11,2018,47
2018-11-24,1,9104.5,6,0,0,0,11,2018,47
2018-11-26,1,8891.23,1,1,0,0,11,2018,48
2018-11-27,1,9331.13,2,1,0,0,11,2018,48
2018-11-28,1,7874.14,3,0,0,0,11,2018,48
2018-11-29,1,8228.36,4,0,0,0,11,2018,48
2018-11-30,1,10753.7,5,1,0,0,11,2018,48
2018-12-01,1,11798.62,6,0,0,0,12,2018,48
2018-12-03,1,11608.88,1,1,0,0,12,2018,49
2018-12-04,1,8203.8,2,0,0,0,12,2018,49
2018-12-05,1,8434.44,3,0,0,0,12,2018,49
2018-12-06,1,9759.69,4,0,0,0,12,2018,49
2018-12-07,1,10438.52,5,0,0,0,12,2018,49
2018-12-08,1,14365.37,6,1,0,0,12,2018,49
2018-12-10,1,9213.07,1,0,0,0,12,2018,50
2018-12-11,1,8020.36,2,0,0,0,12,2018,50
2018-12-12,1,8378.45,3,0,0,0,12,2018,50
2018-12-13,1,9988.14,4,1,0,0,12,2018,50
2018-12-14,1,9731.11,5,0,0,0,12,2018,50
2018-12-15,1,12860.35,6,1,0,0,12,2018,50
2018-12-17,1,8888.6,1,0,0,0,12,2018,51
2018-12-18,1,11653.15,2,1,0,1,12,2018,51
2018-12-19,1,8543.23,3,0,0,1,12,2018,51
2018-12-20,1,11018.61,4,0,0,1,12,2018,51
2018-12-21,1,10868.41,5,1,0,1,12,2018,51
2018-12-22,1,13725.7,6,0,0,1,12,2018,51
2018-12-24,1,11731.07,1,0,0,1,12,2018,52
2018-12-25,1,4140.47,2,0,1,0,12,2018,52
2018-12-26,1,4817.46,3,1,1,0,12,2018,52
2018-12-27,1,9996.23,4,0,0,1,12,2018,52
2018-12-28,1,11144.8,5,0,0,1,12,2018,52
2018-12-29,1,14499.14,6,0,0,1,12,2018,52
2018-12-31,1,12793.06,1,1,0,1,12,2018,1
2019-01-01,1,2326.03,2,0,1,0,1,2019,1
2019-01-02,1,5703.83,3,0,0,0,1,2019,1
2019-01-03,1,5535.22,4,0,0,0,1,2019,1
2019-01-04,1,6928.19,5,0,0,0,1,2019,1
2019-01-05,1,7389.01,6,1,0,0,1,2019,1
2019-01-07,1,5364.64,1,0,0,0,1,2019,2
2019-01-08,1,5183.43,2,0,0,0,1,2019,2
2019-01-09,1,6195.13,3,0,0,0,1,2019,2
2019-01-10,1,5622.23,4,0,0,0,1,2019,2
2019-01-11,1,6045.13,5,0,0,0,1,2019,2
2019-01-12,1,7222.59,6,0,0,0,1,2019,2
2019-01-14,1,5794.61,1,1,0,0,1,2019,3
2019-01-15,1,6472.23,2,1,0,0,1,2019,3
2019-01-16,1,6953.31,3,1,0,0,1,2019,3
2019-01-17,1,6289.0,4,0,0,0,1,2019,3
2019-01-18,1,7155.06,5,0,0,0,1,2019,3
2019-01-19,1,7017.56,6,0,0,0,1,2019,3
2019-01-21,1,5682.58,1,0,0,0,1,2019,4
2019-01-22,1,5479.56,2,0,0,0,1,2019,4
2019-01-23,1,5354.02,3,0,0,0,1,2019,4
2019-01-24,1,6532.27,4,1,0,0,1,2019,4
2019-01-25,1,8239.69,5,1,0,0,1,2019,4
2019-01-26,1,8393.41,6,1,0,0,1,2019,4
2019-01-28,1,5406.59,1,0,0,0,1,2019,5
2019-01-29,1,6689.55,2,0,0,0,1,2019,5
2019-01-30,1,5128.83,3,0,0,0,1,2019,5
2019-01-31,1,5915.01,4,0,0,0,1,2019,5
2019-02-01,1,6150.03,5,0,0,0,2,2019,5
2019-02-02,1,8179.64,6,0,0,0,2,2019,5
2019-02-04,1,5899.03,1,1,0,0,2,2019,6
2019-02-05,1,5943.27,2,0,0,0,2,2019,6
2019-02-06,1,6531.03,3,0,0,0,2,2019,6
2019-02-07,1,6368.95,4,0,0,0,2,2019,6
2019-02-08,1,6759.9,5,0,0,0,2,2019,6
2019-02-09,1,8245.22,6,0,0,0,2,2019,6
2019-02-11,1,5836.55,1,0,0,0,2,2019,7
2019-02-12,1,6062.17,2,0,0,0,2,2019,7
2019-02-13,1,6032.09,3,0,0,0,2,2019,7
2019-02-14,1,6056.78,4,0,0,0,2,2019,7
2019-02-15,1,8977.7,5,1,0,0,2,2019,7
2019-02-16,1,7158.77,6,0,0,0,2,2019,7
2019-02-18,1,5288.96,1,0,0,0,2,2019,8
2019-02-19,1,7704.83,2,0,0,0,2,2019,8
2019-02-20,1,6234.09,3,0,0,0,2,2019,8
2019-02-21,1,5925.7,4,0,0,0,2,2019,8
2019-02-22,1,6231.25,5,0,0,0,2,2019,8
2019-02-23,1,9637.15,6,1,0,0,2,2019,8
2019-02-25,1,6824.1,1,0,0,0,2,2019,9
2019-02-26,1,6376.69,2,0,0,0,2,2019,9
2019-02-27,1,6154.2,3,0,0,0,2,2019,9
2019-02-28,1,6891.33,4,0,0,0,2,2019,9
2019-03-01,1,7500.94,5,0,0,0,3,2019,9
2019-03-02,1,10312.71,6,1,0,0,3,2019,9
2019-03-04,1,6936.86,1,1,0,0,3,2019,10
2019-03-05,1,6664.53,2,0,0,0,3,2019,10
2019-03-06,1,8079.48,3,1,0,0,3,2019,10
2019-03-07,1,7224.44,4,0,0,0,3,2019,10
2019-03-08,1,7559.3,5,0,0,0,3,2019,10
2019-03-09,1,9352.96,6,0,0,0,3,2019,10
2019-03-11,1,7208.12,1,0,0,0,3,2019,11
2019-03-12,1,8893.98,2,0,0,0,3,2019,11
2019-03-13,1,7732.59,3,0,0,0,3,2019,11
2019-03-14,1,7637.53,4,1,0,0,3,2019,11
2019-03-15,1,7270.19,5,0,0,0,3,2019,11
2019-03-16,1,11441.12,6,1,0,0,3,2019,11
2019-03-18,1,6205.14,1,0,0,0,3,2019,12
2019-03-19,1,6679.06,2,0,0,0,3,2019,12
2019-03-20,1,5357.66,3,0,0,0,3,2019,12
2019-03-21,1,6920.65,4,0,0,0,3,2019,12
2019-03-22,1,8341.22,5,1,0,0,3,2019,12
2019-03-23,1,8148.72,6,0,0,0,3,2019,12
2019-03-25,1,5982.67,1,0,0,0,3,2019,13
2019-03-26,1,7205.45,2,0,0,0,3,2019,13
2019-03-27,1,6711.56,3,0,0,0,3,2019,13
2019-03-28,1,8135.09,4,1,0,0,3,2019,13
2019-03-29,1,8092.58,5,0,0,0,3,2019,13
2019-03-30,1,10177.91,6,0,0,0,3,2019,13
2019-04-01,1,6556.35,1,0,0,0,4,2019,14
2019-04-02,1,6053.94,2,0,0,0,4,2019,14
2019-04-03,1,7567.5,3,1,0,0,4,2019,14
2019-04-04,1,7448.47,4,0,0,0,4,2019,14
2019-04-05,1,8977.57,5,1,0,0,4,2019,14
2019-04-06,1,8413.3,6,0,0,0,4,2019,14
2019-04-08,1,6752.42,1,0,0,0,4,2019,15
2019-04-09,1,8816.32,2,1,0,0,4,2019,15
2019-04-10,1,7461.05,3,1,0,0,4,2019,15
2019-04-11,1,7073.93,4,0,0,0,4,2019,15
2019-04-12,1,7727.59,5,0,0,0,4,2019,15
2019-04-13,1,9000.25,6,0,0,0,4,2019,15
2019-04-15,1,6997.32,1,0,0,0,4,2019,16
2019-04-16,1,8621.76,2,1,0,0,4,2019,16
2019-04-17,1,7079.84,3,1,0,0,4,2019,16
2019-04-18,1,8132.2,4,0,0,0,4,2019,16
2019-04-19,1,3531.72,5,1,1,0,4,2019,16
2019-04-20,1,10412.63,6,0,0,0,4,2019,16
2019-04-22,1,3415.48,1,1,1,0,4,2019,17
2019-04-23,1,7609.31,2,0,0,0,4,2019,17
2019-04-24,1,5965.99,3,0,0,0,4,2019,17
2019-04-25,1,7919.89,4,0,0,0,4,2019,17
2019-04-26,1,7218.91,5,0,0,0,4,2019,17
2019-04-27,1,10567.57,6,0,0,0,4,2019,17
2019-04-29,1,6823.54,1,0,0,0,4,2019,18
2019-04-30,1,8839.64,2,0,0,0,4,2019,18
2019-05-01,1,2619.13,3,0,1,0,5,2019,18
2019-05-02,1,8761.21,4,1,0,0,5,2019,18
2019-05-03,1,7828.17,5,0,0,0,5,2019,18
2019-05-04,1,9935.8,6,0,0,0,5,2019,18
2019-05-06,1,7132.38,1,0,0,0,5,2019,19
2019-05-07,1,6809.45,2,0,0,0,5,2019,19
2019-05-08,1,6557.57,3,0,0,0,5,2019,19
2019-05-09,1,7318.63,4,0,0,0,5,2019,19
2019-05-10,1,8674.56,5,0,0,0,5,2019,19
2019-05-11,1,8961.74,6,1,0,0,5,2019,19
2019-05-13,1,8684.59,1,1,0,0,5,2019,20
2019-05-14,1,7151.66,2,0,0,0,5,2019,20
2019-05-15,1,7282.89,3,0,0,0,5,2019,20
2019-05-16,1,7515.41,4,0,0,0,5,2019,20
2019-05-17,1,10451.24,5,1,0,0,5,2019,20
2019-05-18,1,10584.28,6,0,0,0,5,2019,20
2019-05-20,1,6966.61,1,0,0,0,5,2019,21
2019-05-21,1,7719.45,2,0,0,0,5,2019,21
2019-05-22,1,7799.91,3,1,0,0,5,2019,21
2019-05-23,1,7228.82,4,0,0,0,5,2019,21
2019-05-24,1,8024.68,5,0,0,0,5,2019,21
2019-05-25,1,9413.91,6,0,0,0,5,2019,21
2019-05-27,1,7381.8,1,0,0,0,5,2019,22
2019-05-28,1,7339.7,2,0,0,0,5,2019,22
2019-05-29,1,7213.66,3,0,0,0,5,2019,22
2019-05-30,1,8249.79,4,0,0,0,5,2019,22
2019-05-31,1,10594.96,5,1,0,0,5,2019,22
2019-06-01,1,8764.73,6,0,0,0,6,2019,22
2019-06-03,1,5941.76,1,0,0,0,6,2019,23
2019-06-04,1,6793.52,2,0,0,0,6,2019,23
2019-06-05,1,8948.87,3,1,0,0,6,2019,23
2019-06-06,1,7350.37,4,0,0,0,6,2019,23
2019-06-07,1,6764.8,5,0,0,0,6,2019,23
2019-06-08,1,11244.7,6,1,0,0,6,2019,23
2019-06-10,1,8407.6,1,1,0,0,6,2019,24
2019-06-11,1,8566.95,2,1,0,0,6,2019,24
2019-06-12,1,7225.77,3,0,0,0,6,2019,24
2019-06-13,1,7716.69,4,1,0,0,6,2019,24
2019-06-14,1,7430.27,5,0,0,0,6,2019,24
2019-06-15,1,8986.67,6,0,0,0,6,2019,24
2019-06-17,1,6490.64,1,0,0,0,6,2019,25
2019-06-18,1,6533.96,2,0,0,0,6,2019,25
2019-06-19,1,6244.92,3,0,0,0,6,2019,25
2019-06-20,1,7602.51,4,0,0,0,6,2019,25
2019-06-21,1,9194.15,5,1,0,0,6,2019,25
2019-06-22,1,9995.07,6,0,0,0,6,2019,25
2019-06-24,1,6661.11,1,0,0,0,6,2019,26
2019-06-25,1,7892.17,2,0,0,0,6,2019,26
2019-06-26,1,6498.88,3,0,0,0,6,2019,26
2019-06-27,1,7767.68,4,0,0,0,6,2019,26
2019-06-28,1,7475.04,5,0,0,0,6,2019,26
2019-06-29,1,8233.82,6,0,0,0,6,2019,26
2019-07-01,1,9294.66,1,1,0,1,7,2019,27
2019-07-02,1,7919.99,2,1,0,1,7,2019,27
2019-07-03,1,7943.55,3,0,0,1,7,2019,27
2019-07-04,1,8687.26,4,1,0,1,7,2019,27
2019-07-05,1,8389.65,5,0,0,1,7,2019,27
2019-07-06,1,9578.43,6,0,0,1,7,2019,27
2019-07-08,1,6484.64,1,0,0,1,7,2019,28
2019-07-09,1,7748.72,2,0,0,1,7,2019,28
2019-07-10,1,7169.06,3,0,0,1,7,2019,28
2019-07-11,1,8367.28,4,0,0,1,7,2019,28
2019-07-12,1,8677.67,5,1,0,1,7,2019,28
